id,no,gubun,group,ideology,party,chosun,hani,news_quality,agree_t1,agree_t2,bias,age,education,gender,valence,media_slant,ideology_discrete,economic_policy,involvement,media_trust,agree_diff,hmp_score
350,237,3,3,6,Hankuk Party,5,3,4,2,3,0,1,5,Male,Liberal-consistent,Conservative Media,Conservative,1.33333333333333,4,4,1,0.5
351,239,3,3,5,Hankuk Party,4,3,4,4,4,-0.1,1,4,Female,Liberal-consistent,Conservative Media,Conservative,3.66666666666667,4,4,0,0.6
352,284,3,3,2,Hankuk Party,1,1,4,4,4,0,2,5,Female,Liberal-consistent,Conservative Media,Liberal,2,7,1.75,0,0.5
353,287,3,3,7,Hankuk Party,7,1,7,1,1,0.5,2,5,Female,Liberal-consistent,Conservative Media,Conservative,1,6.5,3.25,0,0
354,295,3,3,4,Hankuk Party,2,2,5,3,5,0.1,1,4,Male,Liberal-consistent,Conservative Media,Moderate,2.66666666666667,6,2.25,2,
355,297,3,3,4,Hankuk Party,2,3,5,4,4,0.1,1,3,Male,Liberal-consistent,Conservative Media,Moderate,4,4,2.875,0,
356,322,3,3,4,Hankuk Party,4,4,4,3,3,-0.1,1,3,Male,Liberal-consistent,Conservative Media,Moderate,2.66666666666667,3,3,0,
357,331,3,3,5,Hankuk Party,3,3,5,1,1,0,2,5,Female,Liberal-consistent,Conservative Media,Conservative,1.66666666666667,6.5,3.5,0,0.5
358,347,3,3,4,Hankuk Party,3,3,4,4,4,-0.1,1,4,Male,Liberal-consistent,Conservative Media,Moderate,1.66666666666667,4,3.5,0,
359,374,3,3,5,Hankuk Party,5,3,4,2,2,0.2,4,4,Male,Liberal-consistent,Conservative Media,Conservative,2,3.5,2.125,0,0.3
360,380,3,3,4,Hankuk Party,5,3,6,1,1,0.3,4,5,Male,Liberal-consistent,Conservative Media,Moderate,1,6,6,0,
361,449,3,3,4,Hankuk Party,4,4,4,3,4,-0.1,2,4,Female,Liberal-consistent,Conservative Media,Moderate,1.33333333333333,4.5,2.625,1,
362,504,3,3,5,Hankuk Party,3,3,2,2,2,-0.3,2,4,Female,Liberal-consistent,Conservative Media,Conservative,1,6,1.875,0,0.8
363,539,3,3,5,Minju Party,7,4,2,5,5,-0.2,1,4,Female,Liberal-consistent,Conservative Media,Conservative,4.33333333333333,4,1,0,0.7
364,540,3,3,5,Independent,7,1,6,2,1,0,1,4,Male,Liberal-consistent,Conservative Media,Conservative,2,5,2.625,-1,0.5
365,541,3,3,5,Hankuk Party,5,2,6,1,1,0,3,5,Female,Liberal-consistent,Conservative Media,Conservative,1,3,1,0,0.5
366,542,3,3,1,Minju Party,7,1,1,7,7,0.5,4,4,Male,Liberal-consistent,Conservative Media,Liberal,7,7,1,0,1
367,543,3,3,2,Minju Party,7,2,1,5,5,0.5,1,4,Female,Liberal-consistent,Conservative Media,Liberal,5.66666666666667,5.5,1,0,1
368,544,3,3,2,Minju Party,7,7,3,7,5,-0.3,4,3,Female,Liberal-consistent,Conservative Media,Liberal,4.33333333333333,5,1.875,-2,0.2
369,545,3,3,3,Minju Party,6,5,5,5,3,0.1,1,4,Female,Liberal-consistent,Conservative Media,Liberal,4,5,1,-2,0.6
370,546,3,3,1,Minju Party,7,4,4,5,4,0.1,2,4,Female,Liberal-consistent,Conservative Media,Liberal,4,3.5,1.75,-1,0.6
371,547,3,3,3,Minju Party,3,3,4,4,4,0,2,4,Female,Liberal-consistent,Conservative Media,Liberal,3.33333333333333,5,2.5,0,0.5
372,548,3,3,4,Independent,4,4,4,4,4,0,1,4,Male,Liberal-consistent,Conservative Media,Moderate,2,6,2.75,0,
373,549,3,3,5,Independent,6,2,4,3,3,0.2,1,3,Male,Liberal-consistent,Conservative Media,Conservative,2,5,3,0,0.3
374,550,3,3,2,Minju Party,7,4,1,6,5,0.5,2,3,Female,Liberal-consistent,Conservative Media,Liberal,6,6.5,1,-1,1
375,551,3,3,2,Minju Party,7,4,2,6,5,0.3,4,5,Female,Liberal-consistent,Conservative Media,Liberal,4.66666666666667,5.5,1.125,-1,0.8
376,552,3,3,3,Minju Party,4,4,4,3,4,-0.1,1,4,Female,Liberal-consistent,Conservative Media,Liberal,4.33333333333333,5,3.5,1,0.4
377,553,3,3,3,Minju Party,7,7,2,6,5,0.3,2,4,Female,Liberal-consistent,Conservative Media,Liberal,5,6,3.25,-1,0.8
378,555,3,3,3,Independent,5,5,4,2,2,0,2,4,Male,Liberal-consistent,Conservative Media,Liberal,3.33333333333333,4,2.875,0,0.5
379,556,3,3,4,Minju Party,5,4,4,3,2,0.2,2,3,Female,Liberal-consistent,Conservative Media,Moderate,2,4,2.25,-1,
380,557,3,3,4,Independent,6,6,2,4,4,0.3,1,4,Male,Liberal-consistent,Conservative Media,Moderate,3.66666666666667,5,1.875,0,
381,559,3,3,3,Independent,5,4,5,4,4,0,1,4,Female,Liberal-consistent,Conservative Media,Liberal,1.66666666666667,4,2.125,0,0.5
382,562,3,3,2,Independent,5,5,4,3,3,-0.1,3,3,Female,Liberal-consistent,Conservative Media,Liberal,3.66666666666667,4.5,3.25,0,0.4
383,565,3,3,4,Independent,5,4,4,4,3,0.1,1,3,Female,Liberal-consistent,Conservative Media,Moderate,3.66666666666667,3.5,2.5,-1,
384,573,3,3,5,Hankuk Party,4,1,5,1,1,0,4,3,Female,Liberal-consistent,Conservative Media,Conservative,1,6.5,1,0,0.5
385,575,3,3,5,Independent,7,4,7,1,1,0,3,3,Female,Liberal-consistent,Conservative Media,Conservative,1,7,1,0,0.5
386,598,3,3,5,Hankuk Party,5,1,6,1,1,0,2,4,Male,Liberal-consistent,Conservative Media,Conservative,1,4,1.875,0,0.5
387,614,3,3,4,Independent,4,3,3,5,4,0.1,4,3,Male,Liberal-consistent,Conservative Media,Moderate,2,4,3.875,-1,
388,616,3,3,4,Independent,7,7,1,1,4,0.5,4,4,Male,Liberal-consistent,Conservative Media,Moderate,3.33333333333333,7,2.5,3,
389,617,3,3,5,Independent,4,5,5,4,5,0,4,3,Female,Liberal-consistent,Conservative Media,Conservative,4,4.5,4.25,1,0.5
390,691,3,3,5,Hankuk Party,5,3,4,2,4,0,3,4,Male,Liberal-consistent,Conservative Media,Conservative,3.66666666666667,3.5,2.375,2,0.5
391,699,3,3,4,Hankuk Party,2,2,3,3,3,-0.2,3,4,Male,Liberal-consistent,Conservative Media,Moderate,1,1.5,2.375,0,
392,724,3,3,7,Hankuk Party,6,1,5,1,1,0.5,4,4,Male,Liberal-consistent,Conservative Media,Conservative,2.33333333333333,4,2.25,0,0
393,750,3,3,4,Hankuk Party,3,1,3,1,1,-0.3,5,3,Male,Liberal-consistent,Conservative Media,Moderate,1,2,1,0,
394,773,3,3,5,Hankuk Party,5,2,5,3,2,0.2,5,5,Male,Liberal-consistent,Conservative Media,Conservative,3,3,3.375,-1,0.3
395,774,3,3,5,Hankuk Party,5,2,5,2,2,0.1,5,4,Male,Liberal-consistent,Conservative Media,Conservative,1.33333333333333,6,4.75,0,0.4
396,793,3,3,4,Hankuk Party,4,4,4,4,4,0,3,3,Female,Liberal-consistent,Conservative Media,Moderate,2.33333333333333,5,3.875,0,
397,828,3,3,5,Hankuk Party,3,3,3,3,3,-0.1,3,5,Male,Liberal-consistent,Conservative Media,Conservative,1.66666666666667,2.5,2.625,0,0.6
398,848,3,3,6,Hankuk Party,6,1,6,1,2,0.1,5,4,Male,Liberal-consistent,Conservative Media,Conservative,1.33333333333333,5.5,3.25,1,0.4
399,866,3,3,4,Hankuk Party,5,1,7,1,1,0.1,3,4,Female,Liberal-consistent,Conservative Media,Moderate,1,1,3.625,0,
400,917,3,3,5,Hankuk Party,4,1,7,2,1,0,2,5,Male,Liberal-consistent,Conservative Media,Conservative,2,3.5,2,-1,0.5
401,1101,3,3,5,Independent,6,2,5,5,6,0.2,3,5,Male,Liberal-consistent,Conservative Media,Conservative,1,4.5,2.625,1,0.3
402,1,4,4,6,Hankuk Party,5,4,6,5,5,0.1,5,2,Female,Liberal-consistent,Liberal Media,Conservative,3.33333333333333,5.5,4.625,0,0.4
403,2,4,4,3,Minju Party,7,6,4,4,4,0,5,4,Female,Liberal-consistent,Liberal Media,Liberal,4.33333333333333,5,2.5,0,0.5
404,4,4,4,2,Minju Party,7,2,4,5,5,0.1,5,4,Male,Liberal-consistent,Liberal Media,Liberal,6.33333333333333,6,1,0,0.6
405,5,4,4,4,Independent,4,4,4,3,3,0,3,4,Male,Liberal-consistent,Liberal Media,Moderate,2.33333333333333,5.5,3.875,0,
406,6,4,4,3,Independent,4,4,4,5,2,0,1,3,Female,Liberal-consistent,Liberal Media,Liberal,3.33333333333333,3.5,3.25,-3,0.5
407,7,4,4,4,Independent,5,2,5,2,1,0.1,4,5,Male,Liberal-consistent,Liberal Media,Moderate,1,5.5,4.375,-1,
408,8,4,4,4,Independent,7,3,4,5,4,0.2,4,4,Male,Liberal-consistent,Liberal Media,Moderate,4.33333333333333,4,1,-1,
409,10,4,4,6,Hankuk Party,5,3,4,1,1,0.5,5,4,Male,Liberal-consistent,Liberal Media,Conservative,1,7,1.25,0,0
410,11,4,4,4,Independent,7,2,2,2,2,-0.3,3,4,Female,Liberal-consistent,Liberal Media,Moderate,1.66666666666667,4,2.125,0,
411,12,4,4,4,Independent,7,1,4,3,3,-0.2,1,4,Male,Liberal-consistent,Liberal Media,Moderate,3.33333333333333,5.5,1.875,0,
412,13,4,4,4,Independent,4,4,4,4,4,0,1,4,Female,Liberal-consistent,Liberal Media,Moderate,3.33333333333333,3,2,0,
413,14,4,4,5,Independent,5,1,6,1,1,0.2,5,5,Male,Liberal-consistent,Liberal Media,Conservative,1,7,2.625,0,0.3
414,16,4,4,4,Independent,7,2,5,6,6,-0.1,5,4,Male,Liberal-consistent,Liberal Media,Moderate,3,3.5,1,0,
415,17,4,4,6,Minju Party,7,6,1,7,7,0.5,5,1,Male,Liberal-consistent,Liberal Media,Conservative,7,7,1,0,0
416,18,4,4,6,Independent,5,3,5,3,3,0.1,5,4,Female,Liberal-consistent,Liberal Media,Conservative,3,4,2.875,0,0.4
417,19,4,4,3,Independent,5,5,1,1,1,0,5,3,Female,Liberal-consistent,Liberal Media,Liberal,1,5.5,6.625,0,0.5
418,21,4,4,5,Independent,7,1,5,6,5,0.2,3,4,Male,Liberal-consistent,Liberal Media,Conservative,5.66666666666667,6,1,-1,0.3
419,24,4,4,3,Minju Party,4,5,5,5,4,-0.1,4,3,Female,Liberal-consistent,Liberal Media,Liberal,4.66666666666667,5.5,5.25,-1,0.4
420,26,4,4,6,Independent,5,5,2,1,1,-0.4,5,4,Male,Liberal-consistent,Liberal Media,Conservative,1,3.5,1.625,0,0.9
421,27,4,4,2,Minju Party,7,2,4,3,2,-0.3,4,4,Male,Liberal-consistent,Liberal Media,Liberal,2.66666666666667,6.5,1.5,-1,0.2
422,28,4,4,3,Minju Party,5,3,5,4,5,0,4,3,Male,Liberal-consistent,Liberal Media,Liberal,5.66666666666667,5.5,4.125,1,0.5
423,29,4,4,5,Hankuk Party,5,2,3,3,3,-0.2,3,4,Male,Liberal-consistent,Liberal Media,Conservative,2,4,3,0,0.7
424,31,4,4,5,Minju Party,4,4,3,3,3,0.1,4,4,Female,Liberal-consistent,Liberal Media,Conservative,3.33333333333333,4,3.5,0,0.4
425,32,4,4,1,Minju Party,7,6,1,7,7,0.5,4,4,Male,Liberal-consistent,Liberal Media,Liberal,7,7,1,0,1
426,33,4,4,3,Independent,7,1,6,2,1,0,3,4,Male,Liberal-consistent,Liberal Media,Liberal,5.33333333333333,6,1.375,-1,0.5
427,34,4,4,5,Independent,6,2,4,1,1,-0.5,5,3,Male,Liberal-consistent,Liberal Media,Conservative,2,3,1,0,1
428,35,4,4,4,Independent,7,2,5,6,3,0,3,4,Male,Liberal-consistent,Liberal Media,Moderate,5,5.5,1,-3,
429,36,4,4,2,Minju Party,7,2,6,5,4,0,4,4,Male,Liberal-consistent,Liberal Media,Liberal,5.66666666666667,6,2,-1,0.5
430,38,4,4,4,Minju Party,5,5,4,4,4,0,3,4,Female,Liberal-consistent,Liberal Media,Moderate,4,4,4.375,0,
431,39,4,4,2,Minju Party,7,7,1,7,6,0.5,2,4,Male,Liberal-consistent,Liberal Media,Liberal,5.66666666666667,6,1.875,-1,1
432,40,4,4,4,Independent,4,4,4,4,4,0,3,4,Female,Liberal-consistent,Liberal Media,Moderate,3.66666666666667,5.5,4.375,0,
433,41,4,4,5,Hankuk Party,5,2,3,3,3,-0.2,5,3,Female,Liberal-consistent,Liberal Media,Conservative,1,3,3,0,0.7
434,42,4,4,2,Independent,7,2,4,5,5,0,4,4,Male,Liberal-consistent,Liberal Media,Liberal,4.66666666666667,5,1,0,0.5
435,43,4,4,5,Minju Party,5,5,4,4,5,0.1,4,4,Male,Liberal-consistent,Liberal Media,Conservative,2.66666666666667,4.5,4.75,1,0.4
436,44,4,4,4,Independent,6,3,4,4,4,-0.1,2,4,Male,Liberal-consistent,Liberal Media,Moderate,3.66666666666667,3.5,3.125,0,
437,45,4,4,4,Independent,4,4,5,5,5,0.2,5,3,Female,Liberal-consistent,Liberal Media,Moderate,4.33333333333333,5.5,4.5,0,
438,47,4,4,4,Independent,7,4,3,2,1,0,3,5,Female,Liberal-consistent,Liberal Media,Moderate,2.66666666666667,3.5,1,-1,
439,48,4,4,4,Minju Party,4,3,4,4,4,0,4,4,Female,Liberal-consistent,Liberal Media,Moderate,3,3,4,0,
440,50,4,4,6,Hankuk Party,6,1,1,1,1,-0.5,5,5,Male,Liberal-consistent,Liberal Media,Conservative,1.33333333333333,6,3.25,0,1
441,51,4,4,4,Minju Party,6,3,5,5,3,0.3,2,4,Male,Liberal-consistent,Liberal Media,Moderate,3.66666666666667,5.5,3.375,-2,
442,53,4,4,4,Minju Party,7,3,4,5,3,0,4,5,Male,Liberal-consistent,Liberal Media,Moderate,4.33333333333333,5,2,-2,
443,55,4,4,3,Minju Party,7,3,3,7,7,0.3,5,4,Male,Liberal-consistent,Liberal Media,Liberal,6,6,1.125,0,0.8
444,57,4,4,5,Independent,7,7,4,1,2,0.2,2,4,Female,Liberal-consistent,Liberal Media,Conservative,1,7,2.125,1,0.3
445,58,4,4,4,Independent,7,1,5,1,1,0,5,3,Female,Liberal-consistent,Liberal Media,Moderate,1,4,3.625,0,
446,59,4,4,3,Independent,7,1,2,2,3,0.1,3,5,Male,Liberal-consistent,Liberal Media,Liberal,2.66666666666667,3,1.625,1,0.6
447,60,4,4,4,Minju Party,7,4,4,5,5,0,3,4,Male,Liberal-consistent,Liberal Media,Moderate,5,5,2.125,0,
448,61,4,4,4,Minju Party,4,4,4,5,5,0,3,4,Male,Liberal-consistent,Liberal Media,Moderate,4.33333333333333,4.5,3.75,0,
449,62,4,4,4,Minju Party,5,4,4,5,5,0,1,3,Female,Liberal-consistent,Liberal Media,Moderate,3.66666666666667,4.5,1.875,0,
450,63,4,4,2,Minju Party,7,6,4,6,5,0.2,2,4,Female,Liberal-consistent,Liberal Media,Liberal,6.66666666666667,6.5,2,-1,0.7
451,64,4,4,6,Independent,4,4,5,1,1,0.2,5,3,Female,Liberal-consistent,Liberal Media,Conservative,1.66666666666667,5.5,2.625,0,0.3
452,65,4,4,4,Independent,5,3,2,1,1,-0.2,5,4,Male,Liberal-consistent,Liberal Media,Moderate,1,1,1.5,0,
453,66,4,4,4,Minju Party,5,5,3,3,4,-0.2,3,4,Male,Liberal-consistent,Liberal Media,Moderate,1.66666666666667,4,3.375,1,
454,69,4,4,5,Independent,6,2,5,3,6,0.2,5,4,Female,Liberal-consistent,Liberal Media,Conservative,2.66666666666667,6,4.625,3,0.3
455,70,4,4,4,Minju Party,5,2,3,3,2,0.3,4,3,Female,Liberal-consistent,Liberal Media,Moderate,2.33333333333333,6.5,2.25,-1,
456,71,4,4,1,Minju Party,4,4,4,5,5,0.1,2,4,Female,Liberal-consistent,Liberal Media,Liberal,6.66666666666667,7,3.75,0,0.6
457,72,4,4,4,Independent,4,4,4,4,4,0,4,3,Male,Liberal-consistent,Liberal Media,Moderate,4,4,4.125,0,
458,73,4,4,4,Independent,3,5,4,3,4,0.1,5,3,Female,Liberal-consistent,Liberal Media,Moderate,2,3.5,1.875,1,
459,74,4,4,5,Minju Party,5,5,2,2,2,0.2,1,4,Female,Liberal-consistent,Liberal Media,Conservative,2.66666666666667,5.5,1,0,0.3
460,75,4,4,3,Independent,7,3,4,3,4,0,2,4,Female,Liberal-consistent,Liberal Media,Liberal,3.66666666666667,6,1.75,1,0.5
461,76,4,4,4,Independent,4,4,4,2,1,-0.5,5,3,Female,Liberal-consistent,Liberal Media,Moderate,1,5.5,3.875,-1,
462,77,4,4,3,Independent,7,3,4,4,4,0,4,4,Female,Liberal-consistent,Liberal Media,Liberal,4.33333333333333,4.5,1,0,0.5
463,78,4,4,4,Minju Party,7,3,6,5,2,-0.2,5,4,Male,Liberal-consistent,Liberal Media,Moderate,5.66666666666667,6,2.625,-3,
464,79,4,4,5,Independent,7,7,1,1,1,-0.5,1,4,Male,Liberal-consistent,Liberal Media,Conservative,2,4.5,1,0,1
465,80,4,4,2,Minju Party,5,3,4,5,5,0.2,1,4,Female,Liberal-consistent,Liberal Media,Liberal,4.66666666666667,4.5,3,0,0.7
466,82,4,4,4,Independent,6,4,4,5,3,0,4,3,Female,Liberal-consistent,Liberal Media,Moderate,5,5.5,3.5,-2,
467,92,4,4,3,Minju Party,6,3,4,6,4,0,1,4,Female,Liberal-consistent,Liberal Media,Liberal,4.33333333333333,5,2.5,-2,0.5
468,94,4,4,4,Minju Party,6,3,6,4,2,0.1,2,4,Female,Liberal-consistent,Liberal Media,Moderate,4,5,1.625,-2,
469,96,4,4,2,Minju Party,7,4,4,5,3,0.5,2,4,Male,Liberal-consistent,Liberal Media,Liberal,4.66666666666667,6,4.25,-2,1
470,97,4,4,4,Minju Party,7,7,3,1,1,0.3,2,4,Male,Liberal-consistent,Liberal Media,Moderate,2.33333333333333,6.5,1,0,
471,105,4,4,3,Minju Party,5,3,3,4,5,0.1,1,4,Male,Liberal-consistent,Liberal Media,Liberal,5,6,2.875,1,0.6
472,107,4,4,2,Minju Party,7,4,3,6,5,0.3,4,4,Female,Liberal-consistent,Liberal Media,Liberal,5.33333333333333,5.5,1.375,-1,0.8
473,110,4,4,2,Minju Party,7,1,4,4,4,-0.1,3,5,Male,Liberal-consistent,Liberal Media,Liberal,3.66666666666667,4,2.5,0,0.4
474,114,4,4,5,Hankuk Party,5,3,3,5,4,0,4,5,Female,Liberal-consistent,Liberal Media,Conservative,4.33333333333333,5.5,4,-1,0.5
475,122,4,4,4,Hankuk Party,4,4,1,1,1,-0.5,4,3,Female,Liberal-consistent,Liberal Media,Moderate,1,2.5,1,0,
476,170,4,4,5,Hankuk Party,5,5,5,2,3,-0.2,1,4,Male,Liberal-consistent,Liberal Media,Conservative,2,5,2.625,1,0.7
477,173,4,4,6,Hankuk Party,6,3,4,2,3,0.1,4,4,Female,Liberal-consistent,Liberal Media,Conservative,2.33333333333333,5,2.625,1,0.4
478,199,4,4,4,Hankuk Party,4,4,4,4,4,0,1,4,Male,Liberal-consistent,Liberal Media,Moderate,4,4,3.75,0,
479,223,4,4,5,Hankuk Party,5,2,5,3,6,0.1,2,3,Male,Liberal-consistent,Liberal Media,Conservative,2,3.5,2.25,3,0.4
480,237,4,4,5,Hankuk Party,5,5,5,2,2,0,1,3,Male,Liberal-consistent,Liberal Media,Conservative,3,5,3.625,0,0.5
481,242,4,4,5,Hankuk Party,5,3,6,3,2,0,2,4,Male,Liberal-consistent,Liberal Media,Conservative,2.33333333333333,5,5,-1,0.5
482,243,4,4,7,Hankuk Party,5,2,5,3,1,0,1,3,Male,Liberal-consistent,Liberal Media,Conservative,1,6,3,-2,0.5
483,271,4,4,5,Hankuk Party,4,4,5,3,2,0.1,1,3,Female,Liberal-consistent,Liberal Media,Conservative,3,5,2.125,-1,0.4
484,291,4,4,7,Hankuk Party,4,4,4,1,2,0,2,5,Female,Liberal-consistent,Liberal Media,Conservative,1.33333333333333,7,1,1,0.5
485,296,4,4,4,Hankuk Party,4,3,4,5,4,0.1,1,4,Male,Liberal-consistent,Liberal Media,Moderate,4.66666666666667,3,3.875,-1,
486,305,4,4,5,Hankuk Party,5,4,4,2,2,0.1,3,4,Female,Liberal-consistent,Liberal Media,Conservative,1.33333333333333,6.5,3.125,0,0.4
487,340,4,4,6,Hankuk Party,7,1,1,1,1,-0.5,1,4,Male,Liberal-consistent,Liberal Media,Conservative,1,4,4,0,1
488,349,4,4,6,Hankuk Party,6,5,6,6,6,0.3,2,3,Female,Liberal-consistent,Liberal Media,Conservative,6.33333333333333,6.5,5.5,0,0.2
489,375,4,4,5,Hankuk Party,4,4,4,3,3,0,2,4,Female,Liberal-consistent,Liberal Media,Conservative,3.33333333333333,4.5,3.125,0,0.5
490,383,4,4,4,Hankuk Party,3,1,4,1,1,-0.4,3,4,Female,Liberal-consistent,Liberal Media,Moderate,1,1.5,1.5,0,
491,396,4,4,4,Hankuk Party,5,2,7,1,1,0,1,4,Female,Liberal-consistent,Liberal Media,Moderate,1,7,3.25,0,
492,410,4,4,3,Hankuk Party,5,2,5,3,2,0.2,4,4,Female,Liberal-consistent,Liberal Media,Liberal,2.33333333333333,6,2,-1,0.7
493,414,4,4,5,Hankuk Party,5,5,1,1,1,-0.5,2,5,Male,Liberal-consistent,Liberal Media,Conservative,1,4,1.625,0,1
494,439,4,4,4,Hankuk Party,2,2,6,1,1,0.3,2,4,Male,Liberal-consistent,Liberal Media,Moderate,1.66666666666667,6,1.75,0,
495,463,4,4,6,Hankuk Party,5,1,4,2,1,0.5,2,4,Male,Liberal-consistent,Liberal Media,Conservative,1,7,2.5,-1,0
496,476,4,4,4,Hankuk Party,3,3,3,4,3,0,3,3,Female,Liberal-consistent,Liberal Media,Moderate,2.33333333333333,4,1.875,-1,
497,495,4,4,5,Hankuk Party,4,4,4,5,5,-0.2,3,4,Female,Liberal-consistent,Liberal Media,Conservative,5,4.5,4,0,0.7
498,534,4,4,4,Hankuk Party,5,4,2,1,2,-0.4,3,4,Female,Liberal-consistent,Liberal Media,Moderate,1,5.5,1.25,1,
499,545,4,4,5,Hankuk Party,2,5,4,3,4,0.2,3,4,Female,Liberal-consistent,Liberal Media,Conservative,3.33333333333333,5,2,1,0.3
500,589,4,4,4,Hankuk Party,3,3,3,3,3,-0.1,3,4,Female,Liberal-consistent,Liberal Media,Moderate,3,2,3.125,0,
501,598,4,4,5,Hankuk Party,5,2,3,1,2,-0.3,1,4,Female,Liberal-consistent,Liberal Media,Conservative,1.66666666666667,4.5,1.625,1,0.8
502,624,4,4,4,Hankuk Party,4,2,5,1,1,0.1,3,3,Female,Liberal-consistent,Liberal Media,Moderate,1.33333333333333,3,4.375,0,
503,712,4,4,2,Independent,3,4,1,4,1,-0.3,2,4,Male,Liberal-consistent,Liberal Media,Liberal,3,4,2.75,-3,0.2
504,713,4,4,4,Independent,7,2,3,3,2,0.2,1,4,Female,Liberal-consistent,Liberal Media,Moderate,1.66666666666667,5.5,1.5,-1,
505,714,4,4,4,Hankuk Party,3,3,4,4,4,0,2,4,Male,Liberal-consistent,Liberal Media,Moderate,3,5,3.375,0,
506,715,4,4,3,Independent,6,5,2,2,1,-0.2,2,4,Female,Liberal-consistent,Liberal Media,Liberal,1,4.5,2.375,-1,0.3
507,716,4,4,3,Independent,7,5,2,3,2,0.2,3,4,Female,Liberal-consistent,Liberal Media,Liberal,5.66666666666667,6,1,-1,0.7
508,717,4,4,4,Independent,7,6,1,1,1,-0.4,3,4,Female,Liberal-consistent,Liberal Media,Moderate,1,1,1.125,0,
509,718,4,4,4,Independent,6,2,5,3,2,0.2,2,4,Male,Liberal-consistent,Liberal Media,Moderate,3,5.5,2.375,-1,
510,719,4,4,4,Independent,5,5,3,3,3,-0.1,3,4,Female,Liberal-consistent,Liberal Media,Moderate,1,3.5,1,0,
511,721,4,4,7,Hankuk Party,5,1,4,1,1,0,2,4,Male,Liberal-consistent,Liberal Media,Conservative,1,1,1,0,0.5
512,722,4,4,4,Independent,2,2,2,3,3,-0.3,3,4,Female,Liberal-consistent,Liberal Media,Moderate,2.66666666666667,3,2,0,
513,723,4,4,3,Minju Party,5,3,3,5,3,-0.3,2,5,Male,Liberal-consistent,Liberal Media,Liberal,3,4,2.625,-2,0.2
514,726,4,4,2,Independent,3,4,4,5,4,0,4,5,Female,Liberal-consistent,Liberal Media,Liberal,4.33333333333333,5,3.25,-1,0.5
515,732,4,4,5,Hankuk Party,3,3,5,2,2,0,2,4,Female,Liberal-consistent,Liberal Media,Conservative,2.66666666666667,3,3.625,0,0.5
516,738,4,4,4,Minju Party,7,7,4,5,5,-0.3,1,3,Male,Liberal-consistent,Liberal Media,Moderate,4.66666666666667,6,1.875,0,
517,745,4,4,5,Minju Party,3,5,4,3,3,-0.1,1,4,Female,Liberal-consistent,Liberal Media,Conservative,4,4.5,3.125,0,0.6
518,746,4,4,3,Minju Party,7,4,3,5,5,0.2,2,4,Female,Liberal-consistent,Liberal Media,Liberal,4.66666666666667,5.5,1,0,0.7
519,747,4,4,1,Minju Party,7,5,3,5,3,0.3,1,4,Female,Liberal-consistent,Liberal Media,Liberal,3.33333333333333,4.5,1,-2,0.8
520,748,4,4,2,Minju Party,7,7,2,7,7,0.4,1,4,Female,Liberal-consistent,Liberal Media,Liberal,5.66666666666667,3.5,2,0,0.9
521,751,4,4,3,Independent,6,5,4,3,4,0.1,1,4,Female,Liberal-consistent,Liberal Media,Liberal,4.66666666666667,5,3.125,1,0.6
522,752,4,4,3,Minju Party,3,4,3,4,3,0,1,3,Male,Liberal-consistent,Liberal Media,Liberal,3.66666666666667,4,4,-1,0.5
523,754,4,4,5,Hankuk Party,3,4,2,1,2,-0.3,1,4,Female,Liberal-consistent,Liberal Media,Conservative,1,7,2.75,1,0.8
524,758,4,4,4,Independent,7,4,5,4,4,0,2,4,Female,Liberal-consistent,Liberal Media,Moderate,1.66666666666667,4,1,0,
525,760,4,4,3,Minju Party,7,1,1,5,5,0.2,2,5,Female,Liberal-consistent,Liberal Media,Liberal,5,5.5,1.5,0,0.7
526,883,4,4,5,Minju Party,7,7,4,4,4,-0.1,4,5,Male,Liberal-consistent,Liberal Media,Conservative,3,3.5,2.625,0,0.6
527,918,4,4,2,Minju Party,3,3,3,3,4,0.1,3,4,Male,Liberal-consistent,Liberal Media,Liberal,3,4,4.5,1,0.6
528,938,4,4,4,Minju Party,7,1,4,6,5,0.2,1,4,Male,Liberal-consistent,Liberal Media,Moderate,6.66666666666667,7,1.25,-1,
529,940,4,4,2,Minju Party,7,2,6,4,5,-0.2,3,4,Male,Liberal-consistent,Liberal Media,Liberal,4.66666666666667,5.5,2.125,1,0.3
530,947,4,4,5,Hankuk Party,6,3,2,1,2,-0.2,3,4,Male,Liberal-consistent,Liberal Media,Conservative,1.66666666666667,6,2.75,1,0.7
531,994,4,4,6,Hankuk Party,6,1,1,1,1,-0.5,3,4,Male,Liberal-consistent,Liberal Media,Conservative,1,6.5,2.375,0,1
